Date,Stage,Match,Team,Players,Pick,Role Pick,Ban,Role Ban,Spell,Emblem,Talent 1,Talent 2,Talent 3,Time,MVP,K,D,A,Gold,Level,Win,Tower,Lord ,Turtle,"Buff
 Biru","Buff 
Merah"
3/23/2024,Regular Season,2,CFU Gaming,Detective,Baxia,Tank,Nolan,Assassin,Retribution,Tank,Vitality,Seasoned Hunter,Concussive Blast,16:56,0,0,4,11,9241,15,Win,7,2,0,5,6
3/23/2024,Regular Season,2,CFU Gaming,Zee,Faramis,Support/Mage,Mathilda,Support/Assassin,Flicker,Mage,Rupture,Wilderness Blessing.,Lethal Ignition,16:56,0,4,4,9,10987,15,Win,7,2,0,5,6
3/23/2024,Regular Season,2,CFU Gaming,Flamezy,Minotaur,Tank/Support,Barats,Tank/Fighter,Flicker,Tank,Firmness,Wilderness Blessing.,Concussive Blast,16:56,0,1,5,8,8691,15,Win,7,2,0,5,6
3/23/2024,Regular Season,2,CFU Gaming,Xingg,Bruno,Marksman,Guinevere,Fighter,Flicker,Assassin,Fatal,Master Assassin,Quantum Charge,16:56,1,5,3,9,13458,15,Win,7,2,0,5,6
3/23/2024,Regular Season,1,Duck Rice Esport,Yamikaze,Terizla,Fighter,Guinevere,Fighter,Flicker,Fighter,Firmness,Festival of Blood,Brave Smite,25:20,0,4,4,17,14419,15,Win,8,3,1,11,13
3/23/2024,Regular Season,1,Duck Rice Esport,Darkside,Fredrinn,Fighter/Tank,Barats,Tank/Fighter,Retribution,Support,Thrill,Seasoned Hunter,Impure Rage,25:20,0,1,5,19,12413,15,Win,8,3,1,11,13
3/23/2024,Regular Season,1,Duck Rice Esport,NJ,Gord,Mage,Valentina,Mage,Flicker,Mage,Inspire,Wilderness Blessing.,Impure Rage,25:20,0,8,3,11,14863,15,Win,8,3,1,11,13
3/23/2024,Regular Season,1,Duck Rice Esport,KTANK,Mathilda,Support/Assassin,Vexana,Mage,Flicker,Support,Agility,Wilderness Blessing.,Quantum Charge,25:20,0,1,2,18,12169,15,Win,8,3,1,11,13
3/23/2024,Regular Season,1,Duck Rice Esport,Kydz,Karrie,Marksman,Baxia,Tank,Flicker,Common,Swift,Master Assassin,Brave Smite,25:20,1,10,2,9,19239,15,Win,8,3,1,11,13
3/23/2024,Regular Season,1,Team Flash KH,ATM,Ruby,Fighter/Tank,Joy,Assassin,Flicker,Fighter,Rupture,Festival of Blood,Brave Smite,25:20,0,4,6,6,12773,15,Lose,6,0,2,12,10
3/23/2024,Regular Season,1,Team Flash KH,Rindo,Akai,Tank,Nolan,Assassin,Retribution,Tank,Vitality,Seasoned Hunter,Concussive Blast,25:20,0,4,4,7,13372,15,Lose,6,0,2,12,10
3/23/2024,Regular Season,1,Team Flash KH,CHMA,Faramis,Support/Mage,Angela,Support,Flicker,Mage,Inspire,Wilderness Blessing.,Lethal Ignition,25:20,0,2,4,13,12686,15,Lose,6,0,2,12,10
3/23/2024,Regular Season,1,Team Flash KH,Brainwash,Minotaur,Tank/Support,X.Borg,Fighter,Flicker,Tank,Firmness,Wilderness Blessing.,Concussive Blast,25:20,0,2,6,12,11131,15,Lose,6,0,2,12,10
3/23/2024,Regular Season,1,Team Flash KH,Owl,Claude,Marksman,Arlott,Fighter/Assassin,Flicker,Tank,Firmness,Wilderness Blessing.,Brave Smite,25:20,0,4,4,7,19834,15,Lose,6,0,2,12,10
3/23/2024,Regular Season,2,Duck Rice Esport,Yamikaze,Lapu-Lapu,Fighter,Arlott,Fighter/Assassin,Flicker,Fighter,Rupture,Festival of Blood,Brave Smite,16:20,0,0,2,2,8248,14,Lose,2,0,0,7,6
3/23/2024,Regular Season,2,Duck Rice Esport,Darkside,Barats,Tank/Fighter,Grock,Tank/Fighter,Retribution,Tank,Thrill,Seasoned Hunter,Concussive Blast,16:20,0,0,3,4,8191,15,Lose,2,0,0,7,6
3/23/2024,Regular Season,2,Duck Rice Esport,NJ,Novaria,Mage,Nolan,Assassin,Flicker,Mage,Rupture,Wilderness Blessing.,Impure Rage,16:20,0,2,0,3,8254,14,Lose,2,0,0,7,6
3/23/2024,Regular Season,2,Duck Rice Esport,KTANK,Minotaur,Tank/Support,Vexana,Mage,Flicker,Tank,Firmness,Wilderness Blessing.,Concussive Blast,16:20,0,2,3,2,6709,13,Lose,2,0,0,7,6
3/23/2024,Regular Season,2,Duck Rice Esport,Kydz,Bruno,Marksman,Baxia,Tank,Flicker,Assassin,Fatal,Weapons Master,Quantum Charge,16:20,0,1,2,1,10185,15,Lose,2,0,0,7,6
3/23/2024,Regular Season,2,Team Flash KH,ATM,Cici,Fighter,Joy,Assassin,Purify,Fighter,Inspire,Festival of Blood,Brave Smite,16:20,0,2,0,4,10346,15,Win,9,2,3,8,7
3/23/2024,Regular Season,2,Team Flash KH,Rindo,Fredrinn,Fighter/Tank,Angela,Support,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,16:20,0,1,1,6,9678,15,Win,9,2,3,8,7
3/23/2024,Regular Season,2,Team Flash KH,CHMA,Lylia,Mage,Mathilda,Support/Assassin,Purify,Mage,Inspire,Bargain Hunter,Lethal Ignition,16:20,0,3,1,7,9987,15,Win,9,2,3,8,7
3/23/2024,Regular Season,2,Team Flash KH,Brainwash,Ruby,Fighter/Tank,Terizla,Fighter,Flicker,Tank,Firmness,Wilderness Blessing.,Brave Smite,16:20,0,0,2,7,7825,14,Win,9,2,3,8,7
3/23/2024,Regular Season,2,Team Flash KH,Owl,Claude,Marksman,Dyrroth,Fighter,Purify,Common,Swift,Tenacity,Quantum Charge,16:20,1,4,1,6,14329,15,Win,9,2,3,8,7
3/23/2024,Regular Season,3,Team Flash KH,ATM,Barats,Tank/Fighter,Angela,Support,Flicker,Common,Vitality,Tenacity,Brave Smite,13:54,0,0,4,1,5885,12,Lose,3,0,0,7,8
3/23/2024,Regular Season,3,Team Flash KH,Rindo,Nolan,Assassin,Bruno,Marksman,Retribution,Assassin,Thrill,Seasoned Hunter,Lethal Ignition,13:54,0,1,1,1,9355,15,Lose,3,0,0,7,8
3/23/2024,Regular Season,3,Team Flash KH,CHMA,Vexana,Mage,Joy,Assassin,Flicker,Mage,Rupture,Wilderness Blessing.,Impure Rage,13:54,0,2,3,1,6746,12,Lose,3,0,0,7,8
3/23/2024,Regular Season,3,Team Flash KH,Brainwash,Ruby,Fighter/Tank,Terizla,Fighter,Flicker,Tank,Firmness,Wilderness Blessing.,Brave Smite,13:54,0,0,3,3,5192,11,Lose,3,0,0,7,8
3/23/2024,Regular Season,3,Team Flash KH,Owl,Brody,Marksman,Dyrroth,Fighter,Flicker,Assassin,Rupture,Weapons Master,Quantum Charge,13:54,0,1,3,2,9309,14,Lose,3,0,0,7,8
3/23/2024,Regular Season,3,Duck Rice Esport,Yamikaze,Arlott,Fighter/Assassin,Harith,Mage,Flicker,Tank,Thrill,Tenacity,Brave Smite,13:54,0,3,2,7,7719,13,Win,7,1,3,9,6
3/23/2024,Regular Season,3,Duck Rice Esport,Darkside,Martis,Fighter,Claude,Marksman,Retribution,Assassin,Thrill,Seasoned Hunter,Impure Rage,13:54,1,5,0,8,9130,15,Win,7,1,3,9,6
3/23/2024,Regular Season,3,Duck Rice Esport,NJ,Pharsa,Mage,Cici,Fighter,Purify,Mage,Rupture,Tenacity,Brave Smite,13:54,0,2,1,11,7629,13,Win,7,1,3,9,6
3/23/2024,Regular Season,3,Duck Rice Esport,KTANK,Mathilda,Support/Assassin,Minotaur,Tank/Support,Purify,Support,Agility,Wilderness Blessing.,Quantum Charge,13:54,0,2,1,12,7219,13,Win,7,1,3,9,6
3/23/2024,Regular Season,3,Duck Rice Esport,Kydz,Karrie,Marksman,Baxia,Tank,Flicker,Common,Swift,Tenacity,Brave Smite,13:54,0,2,0,7,10609,15,Win,7,1,3,9,6
3/24/2024,Regular Season,1,Team Max,Renzio,Cici,Fighter,Arlott,Fighter/Assassin,Vengeance,Fighter,Agility,Festival of Blood,Brave Smite,16:10,0,2,3,6,8650,14,Lose,6,1,1,9,7
3/24/2024,Regular Season,1,Team Max,Flick,Alice,Mage/Tank,Faramis,Support/Mage,Retribution,Fighter,Thrill,Seasoned Hunter,Brave Smite,16:10,0,2,3,5,9317,15,Lose,6,1,1,9,7
3/24/2024,Regular Season,1,Team Max,MasterBiiMo,Lylia,Mage,Ruby,Fighter/Tank,Sprint,Mage,Inspire,Wilderness Blessing.,Lethal Ignition,16:10,0,3,2,8,9998,15,Lose,6,1,1,9,7
3/24/2024,Regular Season,1,Team Max,Tyyy,Angela,Support,Minotaur,Tank/Support,Flicker,Support,Inspire,Wilderness Blessing.,Impure Rage,16:10,0,0,4,9,7038,14,Lose,6,1,1,9,7
3/24/2024,Regular Season,1,Team Max,Layy,Bruno,Marksman,Tigreal,Tank,Flicker,Assassin,Fatal,Master Assassin,Quantum Charge,16:10,0,5,2,2,11243,15,Lose,6,1,1,9,7
3/24/2024,Regular Season,1,Team SV,Luffy,Thamuz,Fighter,Fredrinn,Fighter/Tank,Vengeance,Fighter,Thrill,Festival of Blood,Impure Rage,16:10,0,5,3,2,10873,15,Win,7,1,2,7,8
3/24/2024,Regular Season,1,Team SV,Kevs1,Baxia,Tank,Grock,Tank/Fighter,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,16:10,0,2,3,7,8841,15,Win,7,1,2,7,8
3/24/2024,Regular Season,1,Team SV,Krayyy,Vexana,Mage,Joy,Assassin,Flicker,Mage,Rupture,Wilderness Blessing.,Impure Rage,16:10,1,0,1,12,9659,15,Win,7,1,2,7,8
3/24/2024,Regular Season,1,Team SV,Rapidoot,Kaja,Support/Fighter,Nolan,Assassin,Flicker,Support,Inspire,Wilderness Blessing.,Quantum Charge,16:10,0,1,3,8,7862,14,Win,7,1,2,7,8
3/24/2024,Regular Season,1,Team SV,SADBOYY,Karrie,Marksman,Mathilda,Support/Assassin,Flicker,Fighter,Firmness,Master Assassin,Quantum Charge,16:10,0,6,2,3,12191,15,Win,7,1,2,7,8
3/24/2024,Regular Season,2,Team SV,Luffy,Paquito,Fighter/Assassin,Yu Zhong,Fighter,Flicker,Fighter,Rupture,Festival of Blood,Lethal Ignition,27:36,0,5,4,1,14182,15,Lose,7,1,2,7,8
3/24/2024,Regular Season,2,Team SV,Kevs1,Fredrinn,Fighter/Tank,Cici,Fighter,Retribution,Tank,Inspire,Seasoned Hunter,Concussive Blast,27:36,0,0,2,5,12738,15,Lose,7,1,2,7,8
3/24/2024,Regular Season,2,Team SV,Krayyy,Novaria,Mage,Nolan,Assassin,Flicker,Mage,Rupture,Wilderness Blessing.,Impure Rage,27:36,0,0,1,6,16710,15,Lose,7,1,2,7,8
3/24/2024,Regular Season,2,Team SV,Rapidoot,Edith,Tank/Marksman,Joy,Assassin,Flicker,Tank,Vitality,Wilderness Blessing.,Brave Smite,27:36,0,3,2,3,13417,15,Lose,7,1,2,7,8
3/24/2024,Regular Season,2,Team SV,SADBOYY,Karrie,Marksman,Ruby,Fighter/Tank,Flicker,Tank,Firmness,Master Assassin,Quantum Charge,27:36,0,1,2,3,17027,15,Lose,7,1,2,7,8
3/24/2024,Regular Season,2,Team Max,Renzio,X.Borg,Fighter,Mathilda,Support/Assassin,Flicker,Tank,Vitality,Festival of Blood,Brave Smite,27:36,0,4,2,4,15363,15,Win,6,1,1,9,7
3/24/2024,Regular Season,2,Team Max,Flick,Baxia,Tank,Angela,Support,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,27:36,0,2,0,6,14338,15,Win,6,1,1,9,7
3/24/2024,Regular Season,2,Team Max,MasterBiiMo,Faramis,Support/Mage,Vexana,Mage,Flicker,Mage,Rupture,Wilderness Blessing.,Lethal Ignition,27:36,0,0,4,8,13581,15,Win,6,1,1,9,7
3/24/2024,Regular Season,2,Team Max,Tyyy,Grock,Tank/Fighter,Minotaur,Tank/Support,Flicker,Tank,Agility,Wilderness Blessing.,Brave Smite,27:36,0,1,2,5,12561,15,Win,6,1,1,9,7
3/24/2024,Regular Season,2,Team Max,Layy,Claude,Marksman,Arlott,Fighter/Assassin,Purify,Common,Swift,Master Assassin,Brave Smite,27:36,1,4,1,4,18446,15,Win,6,1,1,9,7
3/24/2024,Regular Season,3,Team SV,Luffy,Terizla,Fighter,Faramis,Support/Mage,Flicker,Fighter,Rupture,Festival of Blood,Brave Smite,22:08,0,3,2,4,10872,15,Win,7,2,0,10,9
3/24/2024,Regular Season,3,Team SV,Kevs1,Dyrroth,Fighter,Luo Yi,Mage,Retribution,Assassin,Thrill,Seasoned Hunter,Lethal Ignition,22:08,0,1,3,3,13644,15,Win,7,2,0,10,9
3/24/2024,Regular Season,3,Team SV,Krayyy,Novaria,Mage,Ruby,Fighter/Tank,Flicker,Mage,Rupture,Wilderness Blessing.,Impure Rage,22:08,0,2,0,6,14684,15,Win,7,2,0,10,9
3/24/2024,Regular Season,3,Team SV,Rapidoot,Minotaur,Tank/Support,Joy,Assassin,Flicker,Tank,Firmness,Wilderness Blessing.,Concussive Blast,22:08,0,0,4,5,10035,15,Win,7,2,0,10,9
3/24/2024,Regular Season,3,Team SV,SADBOYY,Bruno,Marksman,Nolan,Assassin,Purify,Assassin,Fatal,Master Assassin,Quantum Charge,22:08,1,4,1,3,15531,15,Win,7,2,0,10,9
3/24/2024,Regular Season,3,Team Max,Renzio,X.Borg,Fighter,Angela,Support,Flicker,Tank,Vitality,Festival of Blood,Brave Smite,22:08,0,1,2,5,12682,15,Lose,7,1,3,10,9
3/24/2024,Regular Season,3,Team Max,Flick,Baxia,Tank,Vexana,Mage,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,22:08,0,0,3,6,11233,15,Lose,7,1,3,10,9
3/24/2024,Regular Season,3,Team Max,MasterBiiMo,Nana,Mage,Mathilda,Support/Assassin,Flicker,Mage,Rupture,Wilderness Blessing.,Lethal Ignition,22:08,0,3,1,2,11206,15,Lose,7,1,3,10,9
3/24/2024,Regular Season,3,Team Max,Tyyy,Grock,Tank/Fighter,Fredrinn,Fighter/Tank,Flicker,Tank,Agility,Wilderness Blessing.,Brave Smite,22:08,0,2,2,6,9888,15,Lose,7,1,3,10,9
3/24/2024,Regular Season,3,Team Max,Layy,Karrie,Marksman,Barats,Tank/Fighter,Flicker,Common,Firmness,Master Assassin,Brave Smite,22:08,0,4,2,2,15735,15,Lose,7,1,3,10,9
3/24/2024,Regular Season,1,PRO Esports,Tong,Terizla,Fighter,Phoveus,Fighter,Flicker,Fighter,Agility,Festival of Blood,Brave Smite,14:16,0,1,2,4,5484,15,Lose,0,0,1,5,5
3/24/2024,Regular Season,1,PRO Esports,Boyet,Nolan,Assassin,Argus,Fighter,Retribution,Assassin,Thrill,Seasoned Hunter,Lethal Ignition,14:16,0,4,3,0,7133,15,Lose,0,0,1,5,5
3/24/2024,Regular Season,1,PRO Esports,Naja,Valentina,Mage,Mathilda,Support/Assassin,Flicker,Mage,Inspire,Wilderness Blessing.,Impure Rage,14:16,0,1,2,0,5589,15,Lose,0,0,1,5,5
3/24/2024,Regular Season,1,PRO Esports,SAA,Chou,Fighter,Ruby,Fighter/Tank,Flicker,Tank,Firmness,Wilderness Blessing.,Concussive Blast,14:16,0,0,2,3,4537,15,Lose,0,0,1,5,5
3/24/2024,Regular Season,1,PRO Esports,Hesa,Harith,Mage,Angela,Support,Purify,Mage,Inspire,Festival of Blood,Impure Rage,14:16,0,0,2,2,7596,15,Lose,0,0,1,5,5
3/24/2024,Regular Season,1,Duck Rice Esport,Yamikaze,Dyrroth,Fighter,Vexana,Mage,Flicker,Fighter,Agility,Festival of Blood,Brave Smite,14:16,0,2,3,2,7714,15,Win,8,1,2,7,4
3/24/2024,Regular Season,1,Duck Rice Esport,Darkside,Joy,Assassin,Cici,Fighter,Retribution,Mage,Inspire,Seasoned Hunter,Lethal Ignition,14:16,1,5,0,4,8353,15,Win,8,1,2,7,4
3/24/2024,Regular Season,1,Duck Rice Esport,NJ,Barats,Tank/Fighter,Karrie,Marksman,Flicker,Tank,Vitality,Tenacity,Concussive Blast,14:16,0,0,2,6,6856,51,Win,8,1,2,7,4
3/24/2024,Regular Season,1,Duck Rice Esport,KTANK,Minotaur,Tank/Support,Tigreal,Tank,Flicker,Support,Vitality,Tenacity,Concussive Blast,14:16,0,1,1,6,6026,15,Win,8,1,2,7,4
3/24/2024,Regular Season,1,Duck Rice Esport,Kydz,Bruno,Marksman,Kaja,Support/Fighter,Purify,Assassin,Fatal,Master Assassin,Quantum Charge,14:16,0,3,1,3,9678,15,Win,8,1,2,7,4
3/24/2024,Regular Season,2,Duck Rice Esport,Yamikaze,Lapu-Lapu,Fighter,Vexana,Mage,Flicker,Fighter,Rupture,Festival of Blood,Brave Smite,14:16,0,2,1,5,9550,15,Win,6,1,0,9,6
3/24/2024,Regular Season,2,Duck Rice Esport,Darkside,Alice,Mage/Tank,Baxia,Tank,Retribution,Mage,Thrill,Seasoned Hunter,Impure Rage,14:16,1,4,1,6,9720,15,Win,6,1,0,9,6
3/24/2024,Regular Season,2,Duck Rice Esport,NJ,Terizla,Fighter,Cici,Fighter,Flicker,Fighter,Firmness,Festival of Blood,Brave Smite,14:16,0,0,3,4,6912,12,Win,6,1,0,9,6
3/24/2024,Regular Season,2,Duck Rice Esport,KTANK,Angela,Support,Natan,Marksman,Flicker,Mage,Inspire,Bargain Hunter,Impure Rage,14:16,0,0,0,8,6544,13,Win,6,1,0,9,6
3/24/2024,Regular Season,2,Duck Rice Esport,Kydz,Karrie,Marksman,Uranus,Tank,Flicker,Common,Firmness,Master Assassin,Brave Smite,14:16,0,4,1,2,10345,15,Win,6,1,0,9,6
3/24/2024,Regular Season,2,PRO Esports,Tong,X.Borg,Fighter,Barats,Tank/Fighter,Flicker,Tank,Firmness,Festival of Blood,Impure Rage,14:16,0,0,3,2,7844,14,Lose,3,0,3,5,6
3/24/2024,Regular Season,2,PRO Esports,Boyet,Fredrinn,Fighter/Tank,Arlott,Fighter/Assassin,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,14:16,0,2,2,4,7404,14,Lose,3,0,3,5,6
3/24/2024,Regular Season,2,PRO Esports,Naja,Valentina,Mage,Joy,Assassin,Flicker,Mage,Inspire,Wilderness Blessing.,Impure Rage,14:16,0,1,2,4,7113,13,Lose,3,0,3,5,6
3/24/2024,Regular Season,2,PRO Esports,SAA,Minotaur,Tank/Support,Nolan,Assassin,Flicker,Tank,Firmness,Wilderness Blessing.,Concussive Blast,14:16,0,1,2,3,5780,12,Lose,3,0,3,5,6
3/24/2024,Regular Season,2,PRO Esports,Hesa,Brody,Marksman,Mathilda,Support/Assassin,Flicker,Assassin,Rupture,Master Assassin,Quantum Charge,14:16,0,2,1,3,9500,14,Lose,3,0,3,5,6
3/24/2024,Regular Season,1,Team Flash KH,ATM,Cici,Fighter,Gord,Mage,Purify,Fighter,Agility,Festival of Blood,Brave Smite,15:43,0,2,2,5,10375,15,Win,9,2,3,9,9
3/24/2024,Regular Season,1,Team Flash KH,Rindo,Barats,Tank/Fighter,Lylia,Mage,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,15:43,0,0,1,6,9882,15,Win,9,2,3,9,9
3/24/2024,Regular Season,1,Team Flash KH,CHMA,Novaria,Mage,Vexana,Mage,Flicker,Mage,Rupture,Wilderness Blessing.,Impure Rage,15:43,1,2,0,7,10813,15,Win,9,2,3,9,9
3/24/2024,Regular Season,1,Team Flash KH,Brainwash,Minotaur,Tank/Support,Joy,Assassin,Flicker,Tank,Firmness,Wilderness Blessing.,Concussive Blast,15:43,0,2,2,8,7915,14,Win,9,2,3,9,9
